Building Engine...
Starting Main Loop
         253430411 function calls (250898655 primitive calls) in 169.245 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    39271    0.009    0.000    0.009    0.000 component_scene_tilemap.py:103(getImageCoordinates)
        1    0.000    0.000    0.009    0.009 platform.py:10(<module>)
        1    0.000    0.000    0.009    0.009 __init__.py:9(<module>)
    39271    0.009    0.000    0.009    0.000 component_scene_tilemap.py:99(getDuration)
      110    0.009    0.000    0.009    0.000 {built-in method nt.listdir}
    56784    0.009    0.000    0.009    0.000 {method 'values' of 'dict' objects}
    13642    0.009    0.000    0.009    0.000 sre_parse.py:232(__next)
        1    0.000    0.000    0.008    0.008 case.py:1(<module>)
        1    0.000    0.000    0.008    0.008 version.py:4(<module>)
        1    0.000    0.000    0.008    0.008 _datasource.py:35(<module>)
       48    0.000    0.000    0.008    0.000 __init__.py:2459(from_location)
        1    0.000    0.000    0.008    0.008 __init__.py:10(<module>)
      353    0.006    0.000    0.008    0.000 sre_compile.py:250(_optimize_charset)
        1    0.000    0.000    0.008    0.008 __init__.py:15(<module>)
        1    0.000    0.000    0.008    0.008 inspect.py:27(<module>)
     3514    0.002    0.000    0.007    0.000 component_entity_behavior.py:133(setBehaviorStateFrameTimes)
        1    0.000    0.000    0.007    0.007 __init__.py:3(<module>)
      275    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
     1004    0.002    0.000    0.007    0.000 component_entity_sprite.py:106(__init__)
     4936    0.005    0.000    0.007    0.000 component_scene_panorama.py:12(getImage)
     4803    0.005    0.000    0.007    0.000 scene_layer.py:50(addComponent)
     1004    0.001    0.000    0.007    0.000 render.py:151(requestPtr)
        1    0.000    0.000    0.007    0.007 shutil.py:5(<module>)
     2548    0.002    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:57(_path_join)
        3    0.006    0.002    0.007    0.002 resource_management_scene.py:605(_createTilemapLayer)
        1    0.000    0.000    0.007    0.007 utils.py:4(<module>)
     9832    0.007    0.000    0.007    0.000 component_system.py:50(__init__)
        1    0.000    0.000    0.007    0.007 socket.py:47(<module>)
        1    0.000    0.000    0.006    0.006 defmatrix.py:1(<module>)
        1    0.000    0.000    0.006    0.006 header.py:5(<module>)
     8074    0.006    0.000    0.006    0.000 enum.py:515(__new__)
       34    0.000    0.000    0.006    0.000 __init__.py:1910(_by_version_descending)
        1    0.000    0.000    0.006    0.006 __init__.py:41(<module>)
       34    0.000    0.000    0.006    0.000 {built-in method builtins.sorted}
     2512    0.002    0.000    0.006    0.000 component_system.py:147(__init__)
        1    0.000    0.000    0.006    0.006 version.py:191(Version)
     1004    0.001    0.000    0.006    0.000 scene_layer.py:63(requestPtr)
        1    0.000    0.000    0.006    0.006 py3k.py:4(<module>)
     4939    0.006    0.000    0.006    0.000 {built-in method time.time}
    29411    0.006    0.000    0.006    0.000 {built-in method builtins.abs}
     3515    0.006    0.000    0.006    0.000 behavior_states_base.py:11(__init__)
     2008    0.003    0.000    0.006    0.000 behavior_states.py:182(__init__)
       25    0.000    0.000    0.006    0.000 __init__.py:3115(<genexpr>)
     1004    0.001    0.000    0.006    0.000 utility.py:166(requestPtr)
        1    0.000    0.000    0.006    0.006 resource_management.py:1(<module>)
       24    0.000    0.000    0.006    0.000 __init__.py:2630(activate)
     4936    0.004    0.000    0.006    0.000 component_scene_panorama.py:16(getImageCoordinates)
       89    0.000    0.000    0.006    0.000 __init__.py:2625(_get_metadata)
       12    0.000    0.000    0.006    0.000 pyparsing.py:4210(__init__)
     3514    0.002    0.000    0.005    0.000 component_entity_behavior.py:89(setBehaviorStateFrameTimes)
      471    0.001    0.000    0.005    0.000 pyparsing.py:1144(copy)
    36/11    0.000    0.000    0.005    0.000 pyparsing.py:3702(leaveWhitespace)
        1    0.000    0.000    0.005    0.005 tempfile.py:24(<module>)
      430    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:263(cache_from_source)
        1    0.000    0.000    0.005    0.005 traceback.py:1(<module>)
       16    0.000    0.000    0.005    0.000 __init__.py:2823(_reload_version)
        1    0.000    0.000    0.005    0.005 numerictypes.py:81(<module>)
        1    0.000    0.000    0.005    0.005 pathlib.py:1(<module>)
     6022    0.005    0.000    0.005    0.000 game_states.py:20(push)
      471    0.001    0.000    0.005    0.000 copy.py:66(copy)
       16    0.000    0.000    0.005    0.000 __init__.py:2429(_version_from_file)
        1    0.000    0.000    0.005    0.005 plistlib.py:47(<module>)
    12340    0.005    0.000    0.005    0.000 render.py:180(<lambda>)
        1    0.000    0.000    0.005    0.005 __init__.py:97(<module>)
        2    0.000    0.000    0.005    0.002 resource_management_scene.py:476(createAtlasResourceData)
       25    0.000    0.000    0.005    0.000 pyparsing.py:1227(setParseAction)
       27    0.000    0.000    0.005    0.000 pyparsing.py:1016(_trim_arity)
     1002    0.001    0.000    0.004    0.000 component_entity_behavior.py:208(setBehaviorState)
