3
         812471 function calls (800302 primitive calls) in 77.448 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1455    0.000    0.000    0.000    0.000 {built-in method _sre.getlower}
     2237    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
      214    0.000    0.000    0.000    0.000 {built-in method builtins.any}
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
     1469    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
     12/2    0.000    0.000    0.000    0.000 pyparsing.py:1885(makeOptionalList)
       38    0.000    0.000    0.000    0.000 pyparsing.py:4189(__init__)
      168    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:176(cb)
        8    0.000    0.000    0.000    0.000 enum.py:855(<listcomp>)
       45    0.000    0.000    0.000    0.000 sre_compile.py:378(<listcomp>)
      167    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:707(find_spec)
        2    0.000    0.000    0.000    0.000 scenery.py:170(makeTileListTuple)
  650/631    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
     1674    0.000    0.000    0.000    0.000 version.py:54(<lambda>)
      211    0.000    0.000    0.000    0.000 {method 'rsplit' of 'str' objects}
      838    0.000    0.000    0.000    0.000 {built-in method builtins.max}
      190    0.000    0.000    0.000    0.000 sre_parse.py:342(_escape)
        4    0.000    0.000    0.000    0.000 pyparsing.py:3312(setResultsName)
        1    0.000    0.000    0.000    0.000 __init__.py:2778(DistInfoDistribution)
       54    0.000    0.000    0.000    0.000 enum.py:70(__setitem__)
        1    0.000    0.000    0.000    0.000 pkgdata.py:34(getResource)
      911    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
     15/4    0.000    0.000    0.000    0.000 pyparsing.py:3721(streamline)
      440    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
      471    0.000    0.000    0.000    0.000 copyreg.py:87(__newobj__)
     1081    0.000    0.000    0.000    0.000 {built-in method nt.fspath}
       13    0.000    0.000    0.000    0.000 ntpath.py:538(abspath)
        1    0.000    0.000    0.000    0.000 render.py:266(renderAllUpperTile)
        1    0.000    0.000    0.000    0.000 _compression.py:1(<module>)
      489    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:847(__exit__)
       14    0.000    0.000    0.000    0.000 hashlib.py:116(__get_openssl_constructor)
        3    0.000    0.000    0.000    0.000 __init__.py:2568(activate)
       12    0.000    0.000    0.000    0.000 {built-in method nt.access}
      489    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:843(__enter__)
        1    0.000    0.000    0.000    0.000 colordict.py:21(<module>)
      675    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
       83    0.000    0.000    0.000    0.000 sre_parse.py:223(__init__)
     12/3    0.000    0.000    0.000    0.000 abc.py:194(__subclasscheck__)
        1    0.000    0.000    0.000    0.000 calendar.py:6(<module>)
        2    0.000    0.000    0.000    0.000 abc.py:151(register)
       28    0.000    0.000    0.000    0.000 pyparsing.py:3956(__init__)
      203    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:52(_r_long)
        1    0.000    0.000    0.000    0.000 warnings.py:119(filterwarnings)
       13    0.000    0.000    0.000    0.000 ntpath.py:471(normpath)
       18    0.000    0.000    0.000    0.000 abc.py:135(<setcomp>)
