         29886883 function calls (25691561 primitive calls) in 26.698 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1200    0.001    0.000    0.002    0.000 version.py:53(__eq__)
     3746    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
        1    0.000    0.000    0.002    0.002 specifiers.py:214(LegacySpecifier)
        1    0.000    0.000    0.002    0.002 sync.py:31(<module>)
        1    0.000    0.000    0.002    0.002 signals.py:1(<module>)
        1    0.000    0.000    0.002    0.002 gpu_shader_fp64.py:61(<module>)
        1    0.000    0.000    0.002    0.002 selectors.py:5(<module>)
        1    0.000    0.000    0.002    0.002 bz2.py:5(<module>)
     6846    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
       84    0.000    0.000    0.001    0.000 GL_3_0.py:12(_f)
     1075    0.001    0.000    0.001    0.000 {built-in method _thread.allocate_lock}
        1    0.000    0.000    0.001    0.001 draw_elements_base_vertex.py:66(<module>)
     2822    0.001    0.000    0.001    0.000 sre_parse.py:248(match)
     1042    0.001    0.000    0.001    0.000 {method 'split' of '_sre.SRE_Pattern' objects}
       39    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:99(_path_isdir)
      246    0.000    0.000    0.001    0.000 enum.py:795(__or__)
        1    0.000    0.000    0.001    0.001 GL_1_3.py:1(<module>)
        1    0.000    0.000    0.001    0.001 separate_shader_objects.py:1(<module>)
       83    0.000    0.000    0.001    0.000 pyparsing.py:1780(__add__)
        2    0.000    0.000    0.001    0.001 pyparsing.py:4722(srange)
        1    0.001    0.001    0.001    0.001 shader_objects.py:1(<module>)
        1    0.001    0.001    0.001    0.001 {method 'readlines' of '_io._IOBase' objects}
        1    0.000    0.000    0.001    0.001 baseplatform.py:2(<module>)
      134    0.000    0.000    0.001    0.000 pyparsing.py:3219(__init__)
        1    0.000    0.000    0.001    0.001 vertex_buffer_object.py:67(<module>)
        5    0.000    0.000    0.001    0.000 warnings.py:119(filterwarnings)
        1    0.000    0.000    0.001    0.001 texture_multisample.py:24(<module>)
        1    0.000    0.000    0.001    0.001 baseplatform.py:89(install)
        1    0.000    0.000    0.001    0.001 win32.py:101(GetCurrentContext)
        1    0.000    0.000    0.001    0.001 linalg.py:10(<module>)
        1    0.000    0.000    0.001    0.001 sprite.py:67(<module>)
        1    0.000    0.000    0.001    0.001 __init__.py:173(<module>)
        2    0.000    0.000    0.001    0.001 pyparsing.py:1571(parseString)
        1    0.000    0.000    0.001    0.001 win32.py:21(GL)
